State,YEAR,        Less_than_9th_ grade,9th_to_12th_grade_no_diploma,High_school_graduate_(includes_equivalency),"Some_college,_no_degree",Associates_degree,Bachelors_degree,Graduate_or_professional_degree,Population
South Dakota,2011,22219,28408,168906,124081,52340,97956,43678,539599
Tennessee,2011,262111,414411,1435886,908721,259365,655551,358347,4296403
Texas,2011,1529216,1513011,4099519,3632685,1052281,2847501,1400178,16076402
Utah,2011,50780,104484,381551,444920,148367,322983,155583,1610679
Vermont,2011,11981,23846,131219,77248,36468,93188,60702,436663
Virginia,2011,261250,397638,1388613,1087264,380585,1111225,792269,5420855
Washington,2011,192924,258880,1092508,1132829,445281,925095,535909,4585437
West Virginia,2011,75385,128987,539023,229070,82692,150916,88125,1296209
Wisconsin,2011,130016,239492,1266895,814234,366423,668444,345869,3833384
Wyoming,2011,6925,23238,115521,99998,37078,61815,31033,377619
Alabama,2012,171543,342914,1003543,705932,238555,472037,275122,3211658
Alaska,2012,13726,23460,130277,128720,38287,79559,50565,466606
Arizona,2012,272390,339100,1038170,1099699,360519,735758,434828,4282476
Arkansas,2012,106189,191063,685949,438140,118932,269141,139968,1951394
California,2012,2509483,2077250,5107967,5465458,1959097,4865203,2795326,24781796
Colorado,2012,137310,186625,752200,789260,288253,818469,472537,3446666
Connecticut,2012,102145,147041,682207,433019,182429,503440,407697,2459990
Delaware,2012,25491,45810,194904,125387,44331,111921,70768,620624
Florida,2012,719287,1102171,4020195,2802225,1236800,2329936,1293133,13505759
Georgia,2012,357352,602673,1810866,1372633,453039,1140757,666518,6405850
Hawaii,2012,40992,50494,269304,209589,95686,186586,99630,954293
Idaho,2012,41438,61919,280462,279779,91295,175020,82873,1014798
Illinois,2012,480331,580800,2313202,1830170,647039,1684348,1023005,8560907
Indiana,2012,171676,360842,1510802,885910,347606,643210,358899,4280957
Iowa,2012,65821,105517,657642,445212,226481,368331,167989,2039005
Kansas,2012,68618,113581,509404,455513,149866,362899,203343,1865236
Kentucky,2012,204630,272175,1000756,607063,211692,378979,260166,2937473
Louisiana,2012,181297,329393,1029965,645819,160063,433223,226845,3008617
Maine,2012,28019,51709,329267,187561,85732,171449,93280,949029
Maryland,2012,173128,260705,1035053,784550,251712,795930,671057,3974147
Massachusetts,2012,212754,258570,1181922,766037,347381,1011713,778232,4558621
Michigan,2012,213460,502098,2024195,1581947,575915,1062110,661293,6623030
Minnesota,2012,111223,158947,952141,801498,381595,807626,387714,3602756
Mississippi,2012,109492,228873,584142,434276,160169,249319,145697,1913980
Missouri,2012,156760,327644,1272777,916120,287670,670388,392282,4025653
Montana,2012,14076,35391,204215,173569,57590,138862,63067,688782
Nebraska,2012,48584,66039,334350,290554,117719,233054,116608,1208920
