State,YEAR,Less_than_9th_ grade,9th_to_12th_grade_no_diploma,High_school_graduate_(includes_equivalency),"Some_college,_no_degree",Associates_degree,Bachelors_degree,Graduate_or_professional_degree,Population
Vermont,2011,11981,23846,131219,77248,36468,93188,60702,434652
Virginia,2011,261250,397638,1388613,1087264,380585,1111225,792269,5418844
Washington,2011,192924,258880,1092508,1132829,445281,925095,535909,4583426
West Virginia,2011,75385,128987,539023,229070,82692,150916,88125,1294198
Wisconsin,2011,130016,239492,1266895,814234,366423,668444,345869,3831373
Wyoming,2011,6925,23238,115521,99998,37078,61815,31033,375608
Alabama,2010,195566,369310,988205,690363,225382,439863,252832,3161521
Alaska,2010,12708,27668,114055,133217,37106,83346,42477,450577
Arizona,2010,261461,333890,1040197,1100225,336950,691889,382146,4146758
Arkansas,2010,121504,205920,664076,432193,121711,252888,121130,1919422
California,2010,2534951,2115091,5012413,5351807,1831667,4610875,2640396,24097200
Colorado,2010,141906,201526,759326,753324,260733,779055,432175,3328045
Connecticut,2010,111914,165094,687618,431411,173047,491990,373309,2434383
Delaware,2010,23093,51028,196159,120045,43386,99400,67668,600779
Florida,2010,751011,1148040,3916584,2768793,1121500,2171876,1199375,13077179
Georgia,2010,362962,616597,1824976,1306500,422830,1093642,608116,6235623
Hawaii,2010,44550,49049,265263,208837,85655,184364,89210,926928
Idaho,2010,41572,73894,282678,267054,81703,165218,75710,987829
Illinois,2010,472627,637864,2336176,1805974,609204,1629625,974292,8465762
Indiana,2010,176191,372087,1521860,884620,315927,617193,341920,4229798
Iowa,2010,79022,111622,681148,440865,202577,344952,158599,2018785
Kansas,2010,81840,117769,511343,445999,135842,354379,193509,1840681
Kentucky,2010,222671,302020,996825,587180,198229,359930,236453,2903308
Louisiana,2010,190254,341622,1012345,619617,151174,424074,206821,2945907
Maine,2010,33514,57273,322397,188163,84698,162350,88619,937014
Maryland,2010,181928,280699,1004589,764665,244750,762917,633926,3873474
Massachusetts,2010,220010,265391,1168464,728540,337594,992307,746592,4458898
Michigan,2010,228553,512569,2032219,1592131,549148,1023760,631421,6569801
Minnesota,2010,115853,173052,963579,799477,353299,760013,362823,3528096
Mississippi,2010,125258,236533,583436,427958,159702,236965,134554,1904406
Missouri,2010,174979,348656,1269737,899999,271659,639352,380467,3984849
Montana,2010,16844,38789,201082,168913,53464,133356,60504,672952
Nebraska,2010,48030,66182,335752,288668,106676,232326,106745,1184379
Nevada,2010,112064,162597,531333,469209,126202,256589,131536,1789530
New Hampshire,2010,25011,52525,270680,171327,90731,185129,112352,907755
New Jersey,2010,322882,390852,1761246,1014776,367832,1321937,791379,5970904
New Mexico,2010,101671,121746,354726,333617,94493,189989,145087,1341329
New York,2010,921410,1060697,3627235,2148659,1072055,2433331,1826461,13089848
North Carolina,2010,354732,610095,1749642,1392117,545716,1123118,550201,6325621
North Dakota,2010,21774,20989,119871,106156,51857,87414,34885,442946
Ohio,2010,254513,660580,2718983,1583538,602445,1210527,690263,7720849
Oklahoma,2010,111530,225692,784855,599946,166649,376600,183941,2449213
Oregon,2010,107150,186987,653316,711777,203853,478133,273670,2614886
Pennsylvania,2010,324917,675770,3246315,1426340,638002,1445223,898262,8654829
Rhode Island,2010,52076,65053,192992,132513,52759,128188,86398,709979
South Carolina,2010,168065,321816,937777,632791,259417,484341,270150,3074357
South Dakota,2010,24758,30457,168427,115589,53362,98760,41026,532379
Tennessee,2010,264801,429041,1422131,882947,263107,621127,359237,4242391
Texas,2010,1533921,1514400,4033241,3598229,1000561,2733721,1358049,15772122
Utah,2010,48943,100093,387683,439793,143171,315627,149514,1584824
Vermont,2010,13129,25627,135729,75936,35790,87638,57193,431042
Virginia,2010,293672,428004,1363946,1078426,361635,1075786,759832,5361301
Washington,2010,185927,273365,1072578,1149227,425322,897884,501354,4505657
West Virginia,2010,78648,138573,538546,237089,75046,140850,85995,1294747
Wisconsin,2010,131242,244183,1265296,803727,354494,659852,341501,3800295
Wyoming,2010,9676,18962,111983,101199,39657,58232,31242,370951
Alabama,2009,187457,370108,966912,686411,218551,447402,239141,3115982
Alaska,2009,13094,23978,119495,127544,32532,75816,38719,431178
Arizona,2009,300596,371724,1057329,1102286,330543,691996,393757,4248231
Arkansas,2009,135600,199817,662671,431876,115017,242389,116544,1903914
California,2009,2505666,2104000,4979576,5284655,1797763,4553969,2556480,23782109
Colorado,2009,152597,198899,743807,754624,261847,762038,419556,3293368
Connecticut,2009,110549,160548,667775,412845,174809,475179,368323,2370028
Delaware,2009,23088,51980,185594,119234,44146,103335,67756,595133
Florida,2009,761436,1122565,3863394,2736290,1083545,2081848,1151866,12800944
Georgia,2009,384005,617932,1799352,1311332,401660,1096655,619390,6230326
Hawaii,2009,40490,44161,254898,194885,87354,173274,87821,882883
Idaho,2009,43648,68379,278026,263001,80424,157721,72531,963730
Illinois,2009,512590,634250,2302533,1791159,615678,1593889,987574,8437673
Indiana,2009,184153,376785,1487584,884718,315650,606497,337823,4193210
Iowa,2009,74123,114143,653961,440140,201612,350245,146673,1980897
Kansas,2009,76067,109573,517000,444050,129360,348274,184730,1809054
Kentucky,2009,226212,300690,981970,577020,187874,358687,244880,2877333
Louisiana,2009,186655,329765,994399,626308,139674,419316,200815,2896932
Maine,2009,34916,55761,317244,186440,81337,160080,89195,924973
Maryland,2009,169104,278281,1013865,747161,234060,748377,606891,3797739
Massachusetts,2009,218237,277073,1181095,749490,347972,980758,735820,4490445
Michigan,2009,247959,553273,2057412,1593646,543759,1005499,623327,6624875
Minnesota,2009,122970,174126,972163,779142,339711,738972,359069,3486153
Mississippi,2009,129781,236219,572627,429597,131978,234032,131628,1865862
Missouri,2009,178547,345958,1267009,908217,262736,623479,375616,3961562
Montana,2009,20223,39200,204204,156247,51322,123649,53983,648828
Nebraska,2009,49685,67979,329580,282947,107574,214419,101046,1153230
Nevada,2009,112885,165047,496477,446068,131339,245697,130726,1728239
New Hampshire,2009,26723,51971,270372,178142,86666,187812,101061,902747
New Jersey,2009,333852,409358,1734474,1025593,364544,1273186,764295,5905302
New Mexico,2009,98470,123311,340607,305548,95854,192548,134582,1290920
New York,2009,920423,1105197,3641890,2153592,1100827,2434198,1841265,13197392
North Carolina,2009,364595,599129,1678361,1350850,524739,1091506,541067,6150247
North Dakota,2009,22024,19603,114416,103913,51444,80126,27909,419435
Ohio,2009,268553,689200,2726971,1622573,564275,1183146,683630,7738348
Oklahoma,2009,118633,224576,756075,578340,158883,364742,175534,2376783
Oregon,2009,106913,175688,624733,712160,212845,484488,269971,2586798
Pennsylvania,2009,336335,703970,3241376,1431746,624436,1394249,877021,8609133
Rhode Island,2009,50175,59376,200988,128201,58849,134035,83941,715565
South Carolina,2009,178324,316566,915789,620592,253400,480232,254430,3019333
South Dakota,2009,23605,29253,169343,119536,50545,93321,38233,523836
Tennessee,2009,271845,438543,1388399,887346,257969,636544,332722,4213368
Texas,2009,1561235,1532431,3906082,3500412,944093,2618635,1298669,15361557
Utah,2009,53133,98211,390291,439777,143646,304181,143940,1573179
Vermont,2009,12932,25401,136581,74288,35647,83936,56698,425483
Virginia,2009,274095,423819,1324689,1071018,344109,1035382,734875,5207987
Washington,2009,174910,283988,1067506,1127788,411431,885861,493867,4445351
West Virginia,2009,81830,135423,518118,234239,76063,133022,85248,1263943
Wisconsin,2009,131462,253239,1283862,789090,338575,648584,316844,3761656
Wyoming,2009,8897,20167,109962,99272,32931,56495,28069,355793
Alabama,2008,188862,368673,974088,659498,210308,439587,237483,3078499
Alaska,2008,12640,22917,112556,126632,34122,74728,41306,424901
Arizona,2008,316397,361708,1048111,1085390,328608,667004,385329,4192547
Arkansas,2008,128766,208194,663108,416282,104524,234355,117585,1872814
California,2008,2501556,2150107,4903309,5222002,1789376,4432116,2530010,23528476
Colorado,2008,157307,206189,746933,742611,248519,748494,412973,3263026
Connecticut,2008,112181,156372,661750,415747,176357,481976,359934,2364317
Delaware,2008,24297,50056,182263,123251,41966,96864,63114,581811
Florida,2008,731563,1145253,3802995,2679496,1061658,2134466,1143981,12699412
Georgia,2008,373002,623597,1817100,1274666,401040,1100034,602432,6191871
Hawaii,2008,41078,43768,250825,198188,85014,167681,86492,873046
Idaho,2008,47792,68562,266100,264545,82006,159133,71024,959162
Illinois,2008,540486,644938,2295552,1795872,608705,1565010,942684,8393247
Indiana,2008,183233,391502,1466600,866304,313410,617092,339279,4177420
Iowa,2008,76461,116428,668417,446292,191386,335245,144995,1979224
Kansas,2008,73036,116470,504656,442830,134503,353290,181665,1806450
Kentucky,2008,229888,306802,989402,588962,192580,337111,228177,2872922
Louisiana,2008,200902,330657,990785,596461,137845,389972,183878,2830500
Maine,2008,34391,61063,324960,188703,83959,153102,82416,928594
Maryland,2008,167730,281531,986866,758376,230850,739285,577157,3741795
Massachusetts,2008,216778,279849,1172132,722384,331517,956049,719218,4397927
Michigan,2008,243295,545208,2064234,1600523,534335,1015678,624495,6627768
Minnesota,2008,122103,168662,950861,791151,333882,744626,344728,3456013
Mississippi,2008,135999,238442,559994,420974,145996,234364,126687,1862456
Missouri,2008,179096,350354,1253360,890733,263099,621851,357356,3915849
Montana,2008,18141,40625,200319,163845,49516,121576,54255,648277
Nebraska,2008,47562,66004,340895,281230,103164,213091,99321,1151267
Nevada,2008,111690,169958,486603,447786,120278,254739,119076,1710130
New Hampshire,2008,28634,53605,262528,173731,83703,192469,108418,903088
New Jersey,2008,319819,420769,1727649,1010266,368268,1266033,751591,5864395
New Mexico,2008,100763,123750,334339,308319,94904,178600,137330,1278005
New York,2008,951328,1127383,3614690,2150948,1054806,2368483,1804706,13072344
North Carolina,2008,383607,612533,1680882,1324936,497276,1060313,525768,6085315
North Dakota,2008,22799,20643,113472,98246,51090,85130,27513,418893
Ohio,2008,263168,684454,2713868,1588371,567394,1179230,667824,7664309
Oklahoma,2008,116194,225218,758273,575467,161141,353517,169540,2359350
Oregon,2008,108211,184787,661252,689472,211680,465367,259786,2580555
Pennsylvania,2008,343289,719606,3164208,1396644,625930,1382175,843480,8475332
Rhode Island,2008,48453,67025,197197,129543,53648,132534,80346,708746
South Carolina,2008,178199,319905,913708,596268,251946,449200,251296,2960522
South Dakota,2008,22389,28169,169985,120891,50505,92952,38098,522989
Tennessee,2008,274993,436130,1359011,900067,251702,620919,333818,4176640
Texas,2008,1571518,1511080,3848003,3411055,951090,2582943,1249157,15124846
Utah,2008,50662,98500,379895,425995,147843,306131,145608,1554634
Vermont,2008,14769,25570,141969,71910,37553,85431,52657,429859
Virginia,2008,291622,433654,1298100,1048511,346881,1027033,709949,5155750
Washington,2008,179874,274759,1041543,1135802,408831,870887,476197,4387893
West Virginia,2008,83851,140851,515881,234325,73953,130855,85349,1265065
Wisconsin,2008,139015,250576,1264002,808721,330632,642270,323394,3758610
Wyoming,2008,8102,20968,106916,95656,35190,54987,27570,349389
Alabama,2007,192991,404339,978130,616909,202115,408600,242809,3045893
Alaska,2007,16268,23868,127441,108709,35925,67754,41853,421818
Arizona,2007,310022,363837,1093262,953739,322378,655897,376690,4075825
Arkansas,2007,134047,217028,663851,377219,109425,239729,120511,1861810
California,2007,2468068,2144680,5396253,4657119,1782118,4425024,2458500,23331762
Colorado,2007,137324,218052,797352,690777,238931,721172,400096,3203704
Connecticut,2007,108277,174151,695183,388199,176018,455313,362427,2359568
Delaware,2007,24183,48004,191244,115727,44904,90173,59700,573935
Florida,2007,712680,1186795,3962460,2422966,1060738,2123627,1118817,12588083
Georgia,2007,374449,664491,1852511,1144966,393747,1068497,576199,6074860
Hawaii,2007,42443,49987,260772,175147,90011,168766,86598,873724
Idaho,2007,36733,73438,282497,239882,82119,159333,72129,946131
Illinois,2007,524936,670454,2432952,1666727,598081,1541417,920420,8354987
Indiana,2007,173481,416755,1542222,803293,293297,586250,328221,4143519
Iowa,2007,78448,126376,702217,402481,185337,330681,148936,1974476
Kansas,2007,69812,124693,541019,406208,132752,339940,175662,1790086
Kentucky,2007,247797,316446,1003985,527113,176547,340467,227671,2840026
Louisiana,2007,197246,353832,979695,530001,122759,378156,181133,2742822
Maine,2007,37405,60066,334985,160550,82539,161545,85142,922232
Maryland,2007,157896,308825,1019051,680723,238061,725785,583146,3713487
Massachusetts,2007,215082,292123,1214179,669274,322793,955812,700156,4369419
Michigan,2007,232946,601586,2154359,1483753,531033,1013139,630313,6647129
Minnesota,2007,127703,179624,980837,752685,327051,719678,341786,3429364
Mississippi,2007,136564,258877,586721,374247,134999,228957,118513,1838878
Missouri,2007,185588,371863,1305247,819279,248346,607464,344751,3882538
Montana,2007,20832,43347,208019,147444,48566,117607,55204,641019
Nebraska,2007,46860,71513,350460,253630,103150,213500,100116,1139229
Nevada,2007,112049,162961,521941,399238,122831,241395,125683,1686098
New Hampshire,2007,26311,58627,277516,160597,81611,188538,102781,895981
New Jersey,2007,322857,436839,1822803,931111,356100,1240638,740578,5850926
New Mexico,2007,105676,119249,364480,274245,89851,185383,128924,1267808
New York,2007,922700,1134653,3793882,1916226,1042663,2345752,1744232,12900108
North Carolina,2007,365783,647904,1766873,1160685,491574,1015979,511109,5959907
North Dakota,2007,24716,20883,117971,93990,49580,79929,26262,413331
Ohio,2007,262920,724622,2805856,1450070,548843,1161216,674088,7627615
Oklahoma,2007,113698,241497,773538,522921,155740,355591,177519,2340504
Oregon,2007,115658,189121,697165,623717,200969,457737,263085,2547452
Pennsylvania,2007,333715,779551,3240835,1283484,619921,1344889,834370,8436765
Rhode Island,2007,54313,66646,205846,118307,53406,128125,83509,710152
South Carolina,2007,173409,348738,954015,519807,231461,445080,237269,2909779
South Dakota,2007,27703,32831,172858,104071,47332,92168,35939,512902
Tennessee,2007,293507,474457,1412303,806306,236833,584565,314722,4122693
Texas,2007,1544740,1552575,4023210,3055685,927185,2512122,1220803,14836320
Utah,2007,47240,99688,398932,386562,133937,293227,136173,1495759
Vermont,2007,14499,26999,139139,67306,35655,88510,55231,427339
Virginia,2007,276257,445751,1390436,946444,332546,1011527,701720,5104681
Washington,2007,171159,291137,1107575,1037633,410420,842952,467060,4327936
West Virginia,2007,88441,148922,517789,211023,76885,135597,82798,1261455
Wisconsin,2007,137200,272669,1300021,742258,328487,629443,317182,3727260
Wyoming,2007,8543,21684,108983,88824,34296,53597,26329,342256
Alabama,2006,199344,401406,986222,597451,201639,403122,233694,3022878
Alaska,2006,15799,26939,119251,111477,30563,72258,39343,415630
Arizona,2006,279577,362226,1056153,945684,303046,643182,363507,3953375
Arkansas,2006,136143,223906,671500,378534,100619,221233,115390,1847325
California,2006,2462134,2143220,5368962,4684571,1767989,4311428,2394870,23133174
Colorado,2006,142859,229951,765604,672932,235974,685736,385444,3118500
Connecticut,2006,114000,169402,704762,409332,172604,456201,341210,2367511
Delaware,2006,27050,54896,192075,100169,39294,93121,59707,566312
Florida,2006,714169,1211194,3880665,2437453,1062507,2044646,1109804,12460438
Georgia,2006,381018,682060,1811581,1119878,387088,1035445,551180,5968250
Hawaii,2006,45599,49180,254442,173058,84657,171316,84767,863019
Idaho,2006,41007,75813,277120,233228,77659,148953,65423,919203
Illinois,2006,547938,697626,2405207,1669963,599632,1505856,899908,8326130
Indiana,2006,189325,419169,1521427,793292,296052,561008,330481,4110754
Iowa,2006,85198,130977,695373,394090,177466,324529,144393,1952026
Kansas,2006,76218,127860,536037,403768,121441,331537,174324,1771185
Kentucky,2006,243156,331564,975858,518154,181645,332480,229915,2812772
Louisiana,2006,199328,364511,961890,532254,122472,367069,186994,2734518
Maine,2006,38411,65536,337675,164873,78612,155686,82535,923328
Maryland,2006,155064,324344,998620,692311,244076,721296,581801,3717512
Massachusetts,2006,215209,309234,1226480,652960,332930,930252,678496,4345561
Michigan,2006,251501,597096,2157157,1492765,514685,1016033,609429,6638666
Minnesota,2006,129127,186905,969471,745042,326228,705316,325359,3387448
Mississippi,2006,142755,263334,588543,365011,134677,232501,112861,1839682
Missouri,2006,200433,384372,1293654,795363,241943,599937,333573,3849275
Montana,2006,22517,40079,201230,142857,50990,119732,53275,630680
Nebraska,2006,47751,71110,351267,260535,99502,210045,95658,1135868
Nevada,2006,104042,161321,520461,398502,118578,223358,118058,1644320
New Hampshire,2006,28309,62414,274960,160429,84344,185549,100867,896872
New Jersey,2006,348272,469904,1785750,947823,355777,1235533,728181,5871240
New Mexico,2006,102572,126938,343109,263979,89009,179016,134810,1239433
New York,2006,892372,1155222,3830283,1932853,1031187,2293158,1710807,12845882
North Carolina,2006,384155,667051,1738948,1129037,474966,966882,484196,5845235
North Dakota,2006,25245,23565,122742,87834,45720,78243,26516,409865
Ohio,2006,273308,772527,2817083,1453587,541151,1115230,629576,7602462
Oklahoma,2006,119138,244070,783807,502628,150495,344470,167513,2312121
Oregon,2006,117998,192548,668558,636657,196595,439070,249946,2501372
Pennsylvania,2006,355247,808760,3277304,1244703,600673,1332252,812920,8431859
Rhode Island,2006,51889,73924,209896,115629,50690,130704,80252,712984
South Carolina,2006,182421,350484,927647,513902,224153,423447,223690,2845744
South Dakota,2006,27917,31199,171524,102693,46367,88911,36626,505237
Tennessee,2006,306372,465643,1388059,773830,229634,571014,303274,4037826
Texas,2006,1525376,1591719,3964551,2969594,904933,2424828,1170693,14551694
Utah,2006,48719,91785,371677,380309,134594,275297,135180,1437561
Vermont,2006,15141,28281,138289,69987,36722,83968,54542,426930
Virginia,2006,283786,458280,1376944,945555,344472,988580,671376,5068993
Washington,2006,174611,292989,1089695,1004645,395303,841454,454885,4253582
West Virginia,2006,89570,150281,539089,202909,72558,125706,82820,1262933
Wisconsin,2006,149482,279369,1282027,721601,324651,616542,308959,3682631
Wyoming,2006,10054,23117,111587,85219,32273,52112,25036,339398
Alabama,2005,187473,393433,941983,594281,196856,398907,231701,2944634
Alaska,2005,13336,21398,112102,105281,29751,66674,39067,387609
Arizona,2005,254418,344114,948896,909182,300033,601547,345165,3703355
Arkansas,2005,124894,212640,631853,374185,98353,223069,112248,1777242
California,2005,2337733,2104465,4868430,4692874,1709579,4215208,2370752,22299041
Colorado,2005,127627,208173,706673,639743,231380,685481,365696,2964773
Connecticut,2005,105949,172524,675701,379272,163904,459099,344116,2300565
Delaware,2005,22774,56553,181831,99866,38176,90574,61305,551079
Florida,2005,650647,1175182,3619623,2428871,997871,1936734,1041854,11850782
Georgia,2005,337445,633007,1669685,1106110,357060,992829,536033,5632169
Hawaii,2005,45985,52974,253116,168334,76867,155858,75783,828917
Idaho,2005,39860,76566,259993,226569,69670,139596,64777,877031
Illinois,2005,504266,649516,2283031,1686652,594479,1480111,881826,8079881
Indiana,2005,173772,406895,1468342,789952,276886,534551,306325,3956723
Iowa,2005,71826,129419,692441,397684,176941,317164,141543,1927018
Kansas,2005,69900,124513,520710,400078,124662,320356,165606,1725825
Kentucky,2005,243034,327649,941493,505651,174123,312484,211371,2715805
Louisiana,2005,189347,355153,977629,567615,127732,375088,199295,2791859
Maine,2005,36453,62591,325305,162818,82032,152744,77593,899536
Maryland,2005,152448,311970,955095,701816,224327,691771,546189,3583616
Massachusetts,2005,210726,298648,1164066,678365,327297,895971,668187,4243260
Michigan,2005,227957,609225,2026459,1482787,516393,977313,614193,6454327
Minnesota,2005,115534,183006,923552,745251,313973,690482,320376,3292174
Mississippi,2005,134480,252751,575561,357965,140767,218351,117209,1797084
Missouri,2005,177717,380255,1249751,804810,222586,572749,321736,3729604
Montana,2005,16008,41391,197873,154981,45384,114067,49842,619546
Nebraska,2005,46883,69650,340138,252426,97911,208864,93964,1109836
Nevada,2005,105851,161869,478672,379073,108486,218353,102619,1554923
New Hampshire,2005,25350,62419,265622,159736,78480,174551,101536,867694
New Jersey,2005,302981,476011,1670430,928107,349036,1232096,708098,5666759
New Mexico,2005,92867,124918,345549,258613,83468,172004,131519,1208938
New York,2005,818654,1147970,3659953,1962759,1033232,2243704,1680229,12546501
North Carolina,2005,353070,631888,1638855,1089224,456290,951509,448053,5568889
North Dakota,2005,24341,24526,119819,93458,46358,77591,27922,414015
Ohio,2005,251923,761400,2715259,1432994,518113,1094740,630832,7405261
Oklahoma,2005,107411,244109,721388,514274,155119,341041,161413,2244755
Oregon,2005,98195,200906,627297,622968,174291,423469,237692,2384818
Pennsylvania,2005,315250,773835,3160932,1254330,576246,1300563,799301,8180457
Rhode Island,2005,44561,71832,205724,118882,57534,125960,80933,705426
South Carolina,2005,166692,331758,856809,519911,222878,409744,215513,2723305
South Dakota,2005,25030,30101,158891,105273,46541,85688,34209,485733
Tennessee,2005,276419,459984,1348744,752512,219264,552189,298554,3907666
Texas,2005,1428385,1498076,3612343,2928191,844048,2335267,1125545,13771855
Utah,2005,38918,97878,361729,373908,128462,266352,120578,1387825
Vermont,2005,16127,28086,134142,69623,35034,84510,51724,419246
Virginia,2005,268057,443013,1297610,924026,318555,964059,650945,4866265
Washington,2005,159155,295192,1023914,996222,373534,800293,426309,4074619
West Virginia,2005,86757,146407,518760,210038,67494,126013,83765,1239234
Wisconsin,2005,136626,265531,1233028,736900,313773,602795,290404,3579057
Wyoming,2005,7618,21150,111970,88126,26487,51488,25456,332295
