State,YEAR,Less_than_9th_ grade,9th_to_12th_grade_no_diploma,High_school_graduate_(includes_equivalency),"Some_college,_no_degree",Associates_degree,Bachelors_degree,Graduate_or_professional_degree,Population
South Carolina,2018,125417,278074,1043630,701181,354718,627144,362191,3492355
South Dakota,2018,16315,28842,180511,115946,70838,117943,52455,582850
Tennessee,2018,206601,358348,1477132,975251,348066,801616,473809,4640823
Texas,2018,1478739,1485230,4627856,3949496,1334999,3627047,1973730,18477097
Utah,2018,47361,94721,423407,462160,191808,427561,224884,1871902
Vermont,2018,8286,20617,127349,78850,38133,103068,69521,445824
Virginia,2018,229799,358586,1398061,1091538,453566,1296041,994416,5822007
Washington,2018,179951,257533,1133822,1197203,533450,1187508,725596,5215063
West Virginia,2018,50504,106081,508339,246501,96253,163614,109489,1280781
Wisconsin,2018,108021,207198,1222475,817650,438602,775533,422543,3992022
Wyoming,2018,7237,19072,113351,103804,44089,66449,39134,393136
Alabama,2017,137386,309557,1029982,709100,278878,528019,316685,3309607
Alaska,2017,14246,25790,133132,126985,42724,86444,52240,481561
Arizona,2017,254700,350198,1136493,1178809,408070,863062,520030,4711362
Arkansas,2017,92735,174807,683285,443935,143522,301294,168820,2008398
California,2017,2459993,1989309,5541182,5641881,2070661,5616449,3359798,26679273
Colorado,2017,129351,190285,815595,798831,313309,994894,579803,3822068
Connecticut,2017,102064,137225,676911,411854,201193,533791,430816,2493854
Delaware,2017,23460,40091,218309,127966,51777,121442,90641,673686
Florida,2017,710891,1035042,4330040,2982278,1507434,2839500,1614992,15020177
Georgia,2017,313025,580411,1936501,1394047,540564,1311611,819867,6896026
Hawaii,2017,34495,42636,280494,204452,106987,216993,111687,997744
Idaho,2017,36681,65058,313029,291857,107505,202800,94858,1111788
Illinois,2017,424494,525386,2272174,1794526,692672,1829903,1167902,8707057
Indiana,2017,161138,343724,1450767,896138,394092,753268,436190,4435317
Iowa,2017,65578,100027,639230,440516,242738,406630,199190,2093909
Kansas,2017,66505,104758,490769,432206,167548,403542,239200,1904528
Kentucky,2017,164235,248251,997060,644270,241585,423916,299636,3018953
Louisiana,2017,152771,311048,1061526,666998,185409,482439,260086,3120277
Maine,2017,25574,49213,300716,184416,100214,193860,117747,971740
Maryland,2017,165505,254504,1020828,788808,285379,889090,763490,4167604
Massachusetts,2017,207140,235318,1163526,743218,360700,1146586,932085,4788573
Michigan,2017,192884,427082,1969839,1594025,649916,1201375,784189,6819310
Minnesota,2017,114437,147197,938908,788988,426760,888880,473246,3778416
Mississippi,2017,94490,211478,595611,431185,198080,265220,163277,1959341
Missouri,2017,129072,298467,1277505,912962,326430,743797,462042,4150275
Montana,2017,16155,34574,203141,170207,65772,157326,76491,723666
Nebraska,2017,48755,60668,331081,291423,128547,263330,135450,1259254
Nevada,2017,107354,165663,592846,518529,165508,340110,173170,2063180
New Hampshire,2017,18164,48396,268564,171011,97978,216750,137142,958005
New Jersey,2017,298109,330076,1696858,1014640,418148,1506899,969808,6234538
New Mexico,2017,80805,112760,370599,333280,117531,211995,164505,1391475
New York,2017,842286,1012659,3634065,2133828,1218132,2794920,2185242,13821132
North Carolina,2017,314734,539055,1800555,1487938,658224,1406739,783940,6991185
North Dakota,2017,13936,21087,130900,111306,66236,108045,44394,495904
Ohio,2017,218232,559456,2661209,1612818,698820,1381934,849416,7981885
Oklahoma,2017,104975,204039,804245,603902,208717,437243,223293,2586414
Oregon,2017,102453,159928,673810,730804,255783,609160,369257,2901195
Pennsylvania,2017,283386,560910,3134497,1416816,747997,1697397,1119839,8960842
Rhode Island,2017,37301,48991,220613,124664,58876,149699,96825,736969
South Carolina,2017,139309,295539,1016072,698438,330153,607024,357316,3443851
South Dakota,2017,16831,30795,176709,126282,62204,109803,51935,574559
Tennessee,2017,200536,359348,1488080,953734,332593,790840,463322,4588453
Texas,2017,1473004,1496019,4552676,3932201,1323957,3510311,1861178,18149346
Utah,2017,50122,93413,408078,469981,172999,416804,215638,1827035
Vermont,2017,9646,22774,127426,73895,37360,98774,69392,439267
Virginia,2017,240260,353117,1396487,1095931,456210,1270190,967026,5779221
Washington,2017,189334,254629,1128284,1203615,514987,1130392,680727,5101968
West Virginia,2017,58192,107069,526652,238487,90494,156378,102078,1279350
Wisconsin,2017,101506,200465,1214914,805492,433324,782676,419854,3958231
Wyoming,2017,7704,19649,114739,98171,40340,67312,39785,387700
Alabama,2016,157797,333897,1011236,711231,271030,506680,308842,3300713
Alaska,2016,10392,22585,133928,129650,40819,90861,50716,478951
Arizona,2016,265215,349224,1105497,1179736,390843,835779,500115,4626409
Arkansas,2016,100157,179465,681969,449709,133315,282608,163225,1990448
California,2016,2556147,2062516,5390935,5602398,2031775,5426164,3234306,26304241
Colorado,2016,128209,192377,822144,787366,322529,934273,558608,3745506
Connecticut,2016,100513,133422,678776,415150,186288,541369,412219,2467737
Delaware,2016,22347,48247,212474,122182,52228,121717,83352,662547
Florida,2016,762762,1092451,4249733,2961148,1429121,2675907,1532549,14703671
Georgia,2016,334607,588019,1884080,1394205,518208,1270275,796001,6785395
Hawaii,2016,36083,43580,277743,212677,104261,211850,104743,990937
Idaho,2016,34434,69695,302866,275485,104375,203363,97047,1087265
